Region,State,Site Name                                                                ,Site ID,EPA ID,Address,City,Zip,County,FF Ind,NAI,Latitude,Longitude,NPL Status
‭01‬,CT,BARKHAMSTED-NEW HARTFORD LANDFILL,‭0100255‬,CTD980732333,ROUTE 44 ,BARKHAMSTED,06063,LITCHFIELD,N,N,41.893947,-72.989337,10/04/89
‭01‬,CT,BEACON HEIGHTS LANDFILL,‭0100180‬,CTD072122062,BLACKBERRY HILL ROAD ,BEACON FALLS,06403,NEW HAVEN,N,N,41.43195,-73.035281,09/08/83
‭01‬,CT,DURHAM MEADOWS,‭0100108‬,CTD001452093,MAIN ST ,DURHAM,06422,MIDDLESEX,N,N,41.48111,-72.681388,10/04/89
‭01‬,CT,GALLUP'S QUARRY,‭0100201‬,CTD108960972,ROUTE 12 ,PLAINFIELD,06374,WINDHAM,N,N,41.665281,-71.924161,10/04/89
‭01‬,CT,KELLOGG-DEERING WELL FIELD,‭0100252‬,CTD980670814,NORWALK WATER DEPARTMENT ,NORWALK,06856,FAIRFIELD,N,N,41.13055,-73.43195,09/21/84
‭01‬,CT,"LAUREL PARK, INC.",‭0100232‬,CTD980521165,HUNTERS MTN RD ,NAUGATUCK BOROUGH,06770,NEW HAVEN,N,N,41.476939,-73.071661,09/08/83
‭01‬,CT,LINEMASTER SWITCH CORP.,‭0100041‬,CTD001153923,29 PLAINE HILL ROAD ,WOODSTOCK,06281,WINDHAM,N,N,41.940561,-71.966939,02/21/90
‭01‬,CT,NEW LONDON SUBMARINE BASE,‭0100261‬,CTD980906515,ROUTE 12 CRYSTAL LAKE RD ,NEW LONDON,06349,NEW LONDON,Y,N,41.400139,-72.087081,08/30/90
‭01‬,CT,PRECISION PLATING CORP.,‭0100156‬,CTD051316313,1050 HARTFORD TURNPIKE ROAD ,VERNON,06066,TOLLAND,N,N,41.84975,-72.447911,10/04/89
‭01‬,CT,"RAYMARK INDUSTRIES, INC.",‭0100094‬,CTD001186618,75 EAST MAIN STREET ,STRATFORD,06614,FAIRFIELD,N,N,41.201278,-73.117222,04/25/95
‭01‬,CT,SCOVILL INDUSTRIAL LANDFILL,‭0102953‬,CT0002265551,STORE AVENUE ,WATERBURY,06705,NEW HAVEN,N,N,41.550389,-73.010639,07/27/00
‭01‬,CT,SOLVENTS RECOVERY SERVICE OF NEW ENGLAND,‭0100124‬,CTD009717604,LAZY LANE ,SOUTHINGTON,06489,HARTFORD,N,N,41.6196,-72.878,09/08/83
‭01‬,CT,YAWORSKI WASTE LAGOON,‭0100125‬,CTD009774969,PACKER ROAD ,CANTERBURY,06331,WINDHAM,N,N,41.66945,-71.964161,09/08/83
‭01‬,MA,ATLAS TACK CORP.,‭0100376‬,MAD001026319,PLEASANT ST ,FAIRHAVEN,02719,BRISTOL,N,N,41.635561,-70.89445,02/21/90
‭01‬,MA,BAIRD & MCGUIRE,‭0100392‬,MAD001041987,775 SOUTH ST ,HOLBROOK,02343,NORFOLK,N,N,42.149719,-71.028611,09/08/83
‭01‬,MA,BJAT LLC,‭0106144‬,MAN000106144,300 FISHER STREET ,FRANKLIN,02038,NORFOLK,N,N,42.074417,-71.410806,09/30/15
‭01‬,MA,BLACKBURN & UNION PRIVILEGES,‭0101713‬,MAD982191363,SOUTH ST. ,WALPOLE,02081,NORFOLK,N,N,42.138749,-71.251667,05/31/94
‭01‬,MA,CHARLES GEORGE RECLAMATION TRUST LANDFILL,‭0100464‬,MAD003809266,CORNER DUNSTABLE & CUMMINGS RD ,TYNGSBOROUGH,01879,MIDDLESEX,N,N,42.66945,-71.443339,09/08/83
‭01‬,MA,CREESE & COOK TANNERY (FORMER),‭0100380‬,MAD001031574,55 CLINTON AVENUE ,DANVERS,01923,ESSEX,N,Y,42.553111,-70.926722,05/24/13
‭01‬,MA,FORT DEVENS,‭0100966‬,MA7210025154,BUENA VISTA ST ,FORT DEVENS,01433,MIDDLESEX,Y,N,42.536111,-71.596111,11/21/89
‭01‬,MA,GROVELAND WELLS,‭0100750‬,MAD980732317,JOHNSON CREEK WATERSHED ,GROVELAND,01834,ESSEX,N,N,42.753331,-71.038889,09/08/83
‭01‬,MA,HANSCOM FIELD/HANSCOM AIR FORCE BASE,‭0100967‬,MA8570024424,HARTWELL AVENUE ,BEDFORD,01730,MIDDLESEX,Y,N,42.470666,-71.289444,05/31/94
